iter	Passed	Remaining
0	0	62
1	1	57
2	1	54
3	2	50
4	2	50
5	3	49
6	3	48
7	4	47
8	4	46
9	5	46
10	5	45
11	6	45
12	6	44
13	7	43
14	7	43
15	8	42
16	8	42
17	9	41
18	9	41
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	35	17
67	36	16
68	36	16
69	37	15
70	37	15
71	38	14
72	39	14
73	39	13
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	55	0
99	55	0
